type,stride,run,cycles_per_access
stride,64,87,18.54
stride,128,87,18.37
stride,256,87,18.23
stride,512,87,18.25
stride,1024,87,18.46
random,NA,87,19.35
sequential,1,88,6.20
stride,2,88,6.58
stride,4,88,7.42
stride,8,88,10.03
stride,16,88,17.87
stride,32,88,18.46
stride,64,88,18.37
stride,128,88,18.43
stride,256,88,18.32
stride,512,88,18.31
stride,1024,88,18.46
random,NA,88,19.39
sequential,1,89,6.20
stride,2,89,6.58
stride,4,89,7.43
stride,8,89,10.05
stride,16,89,17.85
stride,32,89,18.41
stride,64,89,18.40
stride,128,89,18.46
stride,256,89,18.34
stride,512,89,18.28
stride,1024,89,18.52
random,NA,89,19.36
sequential,1,90,6.20
stride,2,90,6.58
stride,4,90,7.62
stride,8,90,10.02
stride,16,90,17.79
stride,32,90,18.35
stride,64,90,18.40
stride,128,90,18.60
stride,256,90,18.39
stride,512,90,18.19
stride,1024,90,18.34
random,NA,90,19.28
sequential,1,91,6.20
stride,2,91,6.57
stride,4,91,7.41
stride,8,91,10.03
stride,16,91,17.79
stride,32,91,18.33
stride,64,91,18.40
stride,128,91,18.37
stride,256,91,18.32
stride,512,91,18.21
stride,1024,91,18.48
random,NA,91,19.30
sequential,1,92,6.21
stride,2,92,6.59
stride,4,92,7.41
stride,8,92,10.05
stride,16,92,17.83
stride,32,92,18.42
stride,64,92,18.43
stride,128,92,18.42
stride,256,92,18.39
stride,512,92,18.59
stride,1024,92,18.60
random,NA,92,19.32
sequential,1,93,6.20
stride,2,93,6.57
stride,4,93,7.40
stride,8,93,10.03
stride,16,93,17.80
stride,32,93,18.36
stride,64,93,18.47
stride,128,93,18.33
stride,256,93,18.31
stride,512,93,18.36
stride,1024,93,18.90
random,NA,93,19.31
sequential,1,94,6.21
stride,2,94,6.58
stride,4,94,7.42
stride,8,94,10.04
stride,16,94,17.76
stride,32,94,18.37
stride,64,94,18.46
stride,128,94,18.34
stride,256,94,18.29
stride,512,94,18.15
stride,1024,94,18.45
random,NA,94,19.28
sequential,1,95,6.21
stride,2,95,6.58
stride,4,95,7.43
stride,8,95,10.03
stride,16,95,17.82
stride,32,95,18.38
stride,64,95,18.40
stride,128,95,18.42
stride,256,95,18.28
stride,512,95,18.39
stride,1024,95,18.49
random,NA,95,19.28
sequential,1,96,6.20
stride,2,96,6.58
stride,4,96,7.43
stride,8,96,10.03
stride,16,96,17.77
stride,32,96,18.41
stride,64,96,18.33
stride,128,96,18.32
stride,256,96,18.33
stride,512,96,18.31
stride,1024,96,18.35
random,NA,96,19.29
sequential,1,97,6.21
stride,2,97,6.58
stride,4,97,7.42
stride,8,97,10.04
stride,16,97,17.86
stride,32,97,18.41
stride,64,97,18.44
stride,128,97,18.37
stride,256,97,18.32
stride,512,97,18.25
stride,1024,97,18.80
random,NA,97,19.31
sequential,1,98,6.20
stride,2,98,6.58
stride,4,98,7.41
stride,8,98,10.04
stride,16,98,17.73
stride,32,98,18.35
stride,64,98,18.36
stride,128,98,18.46
stride,256,98,18.30
stride,512,98,18.28
stride,1024,98,18.76
random,NA,98,19.30
sequential,1,99,6.21
stride,2,99,6.58
stride,4,99,7.42
stride,8,99,10.02
stride,16,99,17.78
stride,32,99,18.31
stride,64,99,18.36
stride,128,99,18.39
stride,256,99,18.26
stride,512,99,18.19
stride,1024,99,18.53
random,NA,99,19.30
