run,initial_hit_time,probe_after_evict_time
1670,52,808
1671,52,730
1672,52,734
1673,54,732
1674,52,652
1675,50,806
1676,50,814
1677,50,1194
1678,52,1194
1679,52,1462
1680,52,1108
1681,52,980
1682,52,1070
1683,50,976
1684,50,828
1685,54,898
1686,52,918
1687,50,1090
1688,54,968
1689,54,920
1690,54,978
1691,52,902
1692,54,968
1693,54,832
1694,50,892
1695,52,1072
1696,52,1132
1697,52,1318
1698,52,1188
1699,52,992
1700,52,970
1701,54,868
1702,56,1430
1703,52,1046
1704,58,896
1705,54,892
1706,54,1092
1707,52,1298
1708,50,900
1709,50,888
1710,52,1088
1711,52,1094
1712,52,1238
1713,52,1000
1714,54,836
1715,54,972
1716,56,984
1717,54,912
1718,52,978
1719,52,1066
1720,52,986
1721,52,972
1722,52,904
1723,54,930
1724,50,1412
1725,56,908
1726,50,978
1727,52,980
1728,54,1288
1729,48,904
1730,56,982
1731,50,984
1732,54,934
1733,54,970
1734,54,900
1735,54,986
1736,52,970
1737,54,1240
1738,52,988
1739,52,906
1740,50,1188
1741,56,1094
1742,52,972
1743,52,1024
1744,54,980
1745,52,1068
1746,56,1154
1747,52,1114
1748,54,966
1749,52,910
1750,54,1250
1751,50,822
1752,52,1054
1753,52,898
1754,52,904
1755,50,846
1756,52,914
1757,52,1080
1758,52,986
1759,56,956
1760,52,982
1761,52,744
1762,54,736
1763,54,900
1764,56,800
1765,52,1360
1766,48,966
1767,50,978
1768,50,898
1769,50,1054
1770,54,1432
1771,56,1416
1772,52,992
1773,58,976
1774,54,1204
1775,52,890
1776,52,904
1777,54,984
1778,50,1004
1779,54,980
1780,52,984
1781,52,908
1782,54,914
1783,52,834
1784,54,916
1785,52,740
1786,52,1054
1787,56,1228
1788,54,968
1789,52,752
1790,54,760
1791,52,980
1792,52,1428
1793,50,902
1794,52,972
1795,52,1110
1796,54,1094
1797,54,1334
1798,54,144021464
1799,54,676
1800,52,668
1801,56,910
1802,52,810
1803,52,1042
1804,52,912
1805,50,970
1806,54,1068
1807,50,982
1808,50,1012
1809,54,976
1810,52,972
1811,48,918
1812,54,898
1813,50,990
1814,48,978
1815,52,974
1816,54,890
1817,52,1356
1818,52,908
1819,54,894
1820,52,980
1821,56,898
1822,50,1060
1823,50,912
1824,52,976
1825,54,1492
1826,52,1498
1827,52,1484
1828,50,986
1829,50,900
1830,56,758
1831,52,980
1832,52,906
1833,56,960
1834,56,1044
1835,52,972
1836,52,910
1837,52,986
1838,54,1072
1839,52,972
1840,64,1772
1841,52,1448
1842,54,904
1843,50,828
1844,52,814
1845,52,890
1846,54,800
1847,50,978
1848,54,980
1849,52,904
1850,52,966
1851,52,992
1852,50,976
1853,52,978
1854,54,982
1855,54,874
1856,56,924
1857,54,980
1858,52,912
1859,54,1074
1860,54,902
1861,50,1052
1862,54,892
1863,50,912
1864,50,984
1865,56,840
1866,52,976
1867,52,1064
1868,54,970
1869,56,1514
1870,56,1608
1871,54,1070
1872,54,964
1873,56,978
1874,54,908
1875,50,970
1876,54,842
1877,52,974
1878,54,908
1879,50,978
1880,54,814
1881,52,978
1882,52,914
1883,56,1102
1884,52,980
1885,56,976
1886,56,902
1887,52,904
1888,54,916
1889,54,1020
1890,48,984
1891,50,898
1892,52,910
1893,52,1068
1894,54,988
1895,50,984
1896,52,986
1897,52,1080
1898,52,1096
1899,52,1382
1900,52,1146
1901,52,972
1902,52,962
1903,50,916
1904,54,902
1905,54,744
1906,52,988
1907,50,988
1908,54,894
1909,50,912
1910,52,910
1911,52,968
1912,50,986
1913,52,1092
1914,52,1056
1915,52,1056
1916,52,918
1917,54,960
1918,52,876
1919,52,888
1920,54,938
1921,50,914
1922,52,982
1923,56,912
1924,54,1098
1925,54,978
1926,56,990
1927,56,916
1928,56,978
1929,52,914
1930,52,926
1931,54,994
1932,52,984
1933,54,1426
1934,82,1422
