run,l1_hit,l2_hit,l3_hit,ram_access
987,32,32,48,184
988,32,32,56,184
989,32,32,52,180
990,32,32,56,184
991,32,32,48,184
992,32,32,56,184
993,32,32,52,180
994,32,32,56,184
995,32,32,48,184
996,32,32,56,180
997,32,32,48,184
998,32,32,48,180
999,32,32,56,180
1000,32,32,48,184
1001,32,32,56,768
1002,32,32,48,180
1003,32,32,56,184
1004,32,32,48,180
1005,32,32,56,180
1006,32,32,48,180
1007,32,32,60,180
1008,32,32,48,180
1009,32,32,56,184
1010,32,32,48,184
1011,32,32,56,180
1012,32,32,48,184
1013,32,32,48,180
1014,32,32,60,184
1015,32,32,48,180
1016,32,32,56,184
1017,32,32,52,184
1018,32,32,56,184
1019,32,32,48,184
1020,32,32,56,180
1021,32,32,48,180
1022,32,32,56,184
1023,32,32,48,184
1024,32,32,56,180
1025,32,32,48,180
1026,32,32,56,184
1027,32,32,48,184
1028,32,32,48,180
1029,32,32,56,180
1030,32,32,44,508
1031,32,32,56,184
1032,32,32,48,184
1033,32,32,56,180
1034,32,32,48,180
1035,32,32,56,184
1036,32,32,48,732
1037,32,32,56,184
1038,32,32,52,184
1039,32,32,56,184
1040,32,32,48,184
1041,32,32,52,180
1042,32,32,52,184
1043,32,32,48,184
1044,32,32,56,184
1045,32,32,48,256
1046,32,32,56,184
1047,32,32,48,184
1048,32,32,56,184
1049,32,32,48,188
1050,32,32,56,188
1051,32,32,48,376
1052,32,32,56,184
1053,32,32,48,180
1054,32,32,56,180
1055,32,32,48,184
1056,32,32,48,180
1057,32,32,56,180
1058,32,32,48,180
1059,32,32,56,184
1060,32,32,48,180
1061,32,32,56,184
1062,32,32,44,184
1063,32,32,56,188
1064,32,32,48,184
1065,32,32,56,180
1066,32,32,44,180
1067,32,32,56,180
1068,32,32,48,184
1069,32,32,56,180
1070,32,32,48,180
1071,32,32,48,184
1072,32,32,56,184
1073,32,32,48,184
1074,32,32,56,184
1075,32,32,48,180
1076,32,32,56,184
1077,32,32,48,180
1078,32,32,56,184
1079,32,32,52,184
1080,32,32,56,184
1081,32,32,48,632
1082,32,32,56,184
1083,32,32,48,184
1084,32,32,60,184
1085,32,32,48,184
1086,32,32,48,184
1087,32,32,52,184
1088,32,32,48,180
1089,32,32,56,184
1090,32,32,48,184
1091,32,32,56,180
1092,32,32,48,184
1093,32,32,60,184
1094,32,32,48,184
1095,32,32,56,184
1096,32,32,44,180
1097,32,32,56,184
1098,32,32,48,180
1099,32,32,52,184
1100,32,60,48,184
1101,32,32,48,180
1102,32,32,60,184
1103,32,32,52,180
1104,32,32,60,184
1105,32,32,48,180
1106,32,32,56,184
1107,32,32,52,184
1108,32,32,56,856
1109,32,32,48,184
1110,32,32,56,184
1111,32,32,48,180
1112,32,32,56,184
1113,32,32,48,180
1114,32,32,48,184
1115,32,32,56,184
1116,32,32,48,184
1117,32,32,56,180
1118,32,32,48,180
1119,32,32,56,180
1120,32,32,48,180
1121,32,32,60,180
1122,32,32,48,184
1123,32,32,56,184
1124,32,32,48,180
1125,32,32,56,180
1126,32,32,48,180
1127,32,32,56,180
1128,32,32,52,184
1129,32,32,48,184
1130,32,32,56,180
1131,32,32,48,184
1132,32,32,56,180
1133,32,32,48,180
1134,32,32,56,448
1135,32,32,48,180
1136,32,32,56,180
1137,32,32,48,184
1138,32,32,60,184
1139,32,32,52,180
1140,32,32,56,184
1141,32,32,48,180
1142,32,32,56,184
1143,32,32,52,184
1144,32,32,48,184
1145,32,32,56,180
1146,32,32,44,180
1147,32,32,56,180
1148,32,32,48,180
1149,32,32,60,184
1150,32,32,52,184
1151,32,32,56,184
1152,32,32,48,184
1153,32,32,56,184
1154,32,32,48,184
1155,32,32,56,184
1156,32,32,48,180
1157,32,32,48,184
1158,32,32,60,180
1159,32,32,52,180
1160,32,32,56,184
1161,32,32,48,180
1162,32,32,56,184
1163,32,32,48,180
1164,32,32,56,180
1165,32,32,48,184
1166,32,32,56,184
1167,32,32,48,184
1168,32,32,56,180
1169,32,32,48,184
1170,32,32,56,180
1171,32,32,52,184
1172,32,32,48,180
1173,32,32,56,180
1174,32,32,48,180
1175,32,32,56,184
1176,32,32,52,180
1177,32,32,56,184
1178,32,32,48,180
1179,32,32,56,184
1180,32,32,48,184
1181,32,32,56,184
1182,32,32,48,184
1183,32,32,56,180
1184,32,32,52,184
1185,32,32,60,184
1186,32,32,48,184
1187,32,32,48,184
1188,32,32,56,180
1189,32,32,48,184
1190,32,32,56,184
1191,32,32,48,184
1192,32,32,56,180
1193,32,32,52,176
1194,32,32,56,180
1195,32,32,48,180
1196,32,32,56,184
1197,32,32,48,180
1198,32,32,56,184
1199,32,32,48,180
1200,32,32,60,184
1201,32,32,48,184
1202,32,32,48,608
1203,32,32,56,184
1204,32,32,48,184
1205,32,32,60,184
1206,32,32,48,184
1207,32,32,56,184
1208,32,32,48,180
1209,32,32,56,184
1210,32,32,48,180
1211,32,32,56,180
1212,32,32,52,180
1213,32,32,56,184
1214,32,32,48,180
1215,32,32,52,180
1216,32,32,56,180
1217,32,32,48,184
1218,32,32,56,184
1219,32,32,48,180
1220,32,32,56,184
1221,32,32,48,180
1222,32,32,56,184
1223,32,32,48,184
1224,32,32,56,184
1225,32,32,48,180
1226,32,32,56,180
1227,32,32,48,184
1228,32,32,56,180
1229,32,32,48,184
1230,32,32,48,184
1231,32,32,56,180
1232,32,32,48,184
1233,32,32,56,184
1234,32,32,52,184
1235,32,32,56,184
1236,32,32,48,184
1237,32,32,56,180
1238,32,32,48,184
1239,32,32,60,184
1240,32,32,48,180
1241,32,32,56,184
1242,32,32,52,184
1243,32,32,56,184
1244,32,32,48,184
1245,32,32,48,184
1246,32,32,56,184
1247,32,32,48,476
1248,32,32,56,180
1249,32,32,48,184
1250,32,32,56,184
1251,32,32,48,184
1252,32,32,56,180
1253,32,32,48,184
1254,32,32,56,184
1255,32,32,48,184
1256,32,32,52,180
1257,32,32,48,180
1258,32,32,48,180
1259,32,32,48,180
1260,32,32,52,184
1261,32,32,56,180
1262,32,32,48,180
1263,32,32,56,184
1264,32,32,48,184
1265,32,32,56,184
1266,32,32,48,180
1267,32,32,60,180
1268,32,32,48,180
1269,32,32,56,180
1270,32,32,48,184
1271,32,32,60,188
1272,32,32,48,180
1273,32,32,48,184
1274,32,32,56,184
1275,32,32,48,184
1276,32,32,56,184
1277,32,32,52,184
1278,32,32,60,180
1279,32,32,48,184
1280,32,32,56,180
1281,32,32,48,184
1282,32,32,56,184
1283,32,32,52,180
1284,32,32,56,188
1285,32,32,48,180
1286,32,32,56,180
1287,32,32,48,184
1288,32,32,48,224
1289,32,32,56,184
1290,32,32,44,184
1291,32,32,56,176
1292,32,32,48,180
1293,32,32,56,184
1294,32,32,48,180
1295,32,32,56,180
1296,32,32,48,180
1297,32,32,56,184
1298,32,32,48,180
1299,32,32,56,184
1300,32,32,48,180
1301,32,32,56,180
